use#v#1161188,использовать
make#v#2566500,делать
person#n#7846,кто-то
refer#v#2681865,относиться
flower#n#11689786,цветок
part#n#3898588,часть
act#n#6544086,
city#n#8542298,город
genus#n#5853540,вид, род
plant#n#17402,растение
small#a#1394303,маленький
tree#n#13124818,лерево
put#v#1496967,положить
establish#v#2431950,основывать
region#n#8647614,регион, область
state#n#24900,состояние
form#v#2453050,создавать
herb#n#12226211,трава
people#n#7958392,люди
large#a#1385012,большой
leaf#n#13173519,листва
shrub#n#13133423,куст
area#n#8514304,район, область
member#n#10326901,член (группы)
body#n#7981699,тело (биология)
unit_of_measurement#n#13604927,единица измерения
cause#v#1649143,вызывать, побуждать
travel#v#1839438,двишаться, передвигаться, перемещаться
body_of_water#n#9248053,водоём
talk#v#964479,говорить
manner#n#4936080,способ, образ действия
form#n#6301417,форма (философия)
group#n#31563,группа
consist#v#2756729,состоять в
quality#n#4731092,качество
produce#v#1756303,производить
hold#v#2706727,содержать, вмещать
characterize#v#2703792,характериховать
surface#n#4369112,поверхность
become#v#2632685,становиться
position#n#8639173,позиция
beginning#n#8524579,источник, корень
provide#v#1185006,снабжать, обеспечивать
branch#n#13184148,ветвь
characteristic#a#358006,характерный
side#n#8666920,сторона
bear#v#2636952,иметь
town#n#8683242,город
state#n#8185877,страна
head#n#1320872,голова (при подсчёте скота)
point#n#8637636,место
language#n#6293304,язык
receive#v#523831,получать
occur#v#725311,приходить на ум
end#n#8583557,конец
sound#n#4988388,звук
keep#v#2687605,кормить,оставлять,оставить,занять,занимать
topographic_point#n#8682181,место
substance#n#19793,вещество
cultivate#v#1745327,культивировать, выращивать
yield#n#4620079,yield
number#n#5128718,количество
island#n#9339360,остров
sum#n#13352213,количество
include#v#686739,включать (в себя)
associate#v#715072,ассоциировать, соединять
give#v#2321848,давать
remove#v#173351,убирать, удалять
time#n#15295388,время
miss#v#2638434,нуждаться
center#n#8540894,центр
line#n#6812755,линия
tag#v#1591414,ставить метку
grow#v#231172,расти
process#n#5709328,психический процесс
property#n#13265007,собственность
cover#v#1335412,покрывать
determine#v#702806,сформировать
use#n#948944,использование, применение
take#v#2605633,выпонять
involve#v#2683377,вовлекать
study#v#2170904,обдумать
structure#n#4939142,структура
long#a#1436368,длинный
family#n#8094856,семья
animal#n#15568,животное
color#n#4963771,цвет
wood#n#15122728,дерево, древесина
situate#v#2700775,помещать
fish#n#2514684,рыба
system#n#4384144,система
word#n#6297048,слово
white#a#394166,белый
skin#n#4237155,общивка
degree#n#5101152,уровень
piece#n#3938441,кусок
component#n#5877576,компонента
condition#n#6768279,условие
food#n#21445,еда
type_genus#n#8126906,типовой род
measure#n#33914,количество
stalk#n#13149924,ствол, стебель
North_America#n#9395415,Северная Америка
seashore#n#9451197,побережье
native#n#9643964,туземный, местный
devising#n#925809,делать
consequence#n#11430739,
material#n#14604877,материал
inhabitant#n#9643248,житель
fabric#n#3314753,ткань
activity#n#408356,детельность, активность
play#v#1075360,сражаться,проиграть,проигрывать,сразиться
river#n#9434308,река
note#v#1022014,упомянуть, заметить
purpose#n#5991037,цель
wear#v#52091,носить
England#n#8891234,Англия
term#n#6314878,теримн
blood#n#5407190,кровь
woman#n#10807146,женщина
direction#n#8697710,направлениие
indicate#v#925764,указывать,указать
time_period#n#15137796,период
treat#v#2519853,обращаться
base#n#2801449,база
perform#v#2379855,выполнять
high#a#1213526,высокий
India#n#8920762,Индия
game#n#456623,игра
work#n#4606723,работа, изделие, результат труда
Mexico#n#8758708,Мексика
express#v#945869,объявлять,объявить
disease#n#14093842,болезнь
action#n#38116,действие
information#n#6646883,информация
object#n#2684,объект
force#n#11479041,сила
value#n#5864972,значение
certain#a#336319,определенный
series#n#8474987,ряд, последовательность
California#n#9083238,Калифорния
cell#n#2995166,клетка
establish#v#638550,основать, обосновать
hair#n#5262259,волосы
mass#n#5031420,масса
create#v#1757596,создавать
writer#n#10813654,писатель
equal#a#893124,равный
result#v#2640346,кончаться, иметь результатом
derive#v#2297086,получать
expression#n#4687095,экспрессия
margin#n#13926393,граница
divide#v#2473085,отделять,разбить,отрезать,отрезать,разбивать
tissue#n#5274844,ткань
evolve#v#1742478,разраьатывать
France#n#8949695,Франция
space#n#13933399,пространство
motion#n#332776,движение
thing#n#13967020,дело, случай
Europe#n#9298379,Европа
transport#v#1452567,перенести
foot#n#13671663,фут
power#n#11473433,мошность
life#n#13986528,жизнь
bird#n#1505702,птицы
screening#n#6901395,показ
fag_end#n#15293196,конец, заключительная часть
arm#n#2740838,плечо (часть тела)
layer#n#8609236,слой
run#v#2691775,
mountain#n#9382700,гора
capital#n#13375435,капитал
democracy#n#8378256,республика
common#a#494722,общий
liquid#n#14964524,жидкость
shape#n#28005,форма
assortment#n#8415730,многообразие, разнообразие
species#n#8127339,вид
configuration#n#5739724,созвездие
bunch#n#7976557,кластер
order#n#5098520,порядок (величины)
change#v#126072,мелочь,изменяться,меняться,менять
write#v#995046,
fern#n#11566165,папоротниковидные
metallic_element#n#14649636,металлы
seed#n#11704458,семя, семечко
establish#v#1650771,основывать,основать
site#n#8668822,место, местонахождения
living#a#2766901,живой
kind#n#5847533,тип
eye#n#5622259,глаз
grass#n#12122650,трава, дерн
apply#v#2682599,употреблять,обращаться,употребить
serve#v#2676679,служить
universe#n#9489410,мир, вселенная
feeling#n#26390,чувство
distance#n#5091408,расстояние
Asia#n#9230176,Азия
know#v#596016,знать
development#n#251126,развитие
hotness#n#5023355,тепло
device#n#3187746,устройство
ship#n#4201332,судно, корабль
typify#v#837915,
rock#n#9438954,рок
exploitation#n#419916,использование
land#n#9357302,земля, почва, грунт
God#n#9559169,Бог
construct#v#1658171,
coating#n#3062092,слой, покрытие
postdate#v#2718647,следовать, быть следующим
fill#v#453467,заставить,заполнить
event#n#29677,физический процесс
case#n#7323507,case
set#n#8013131,набор
boundary#n#13926085,кроска, крый, грань, граница
light#n#11494354,свет
attach#v#1292858,быть присоединенным
short#a#1445077,короткий
wing#n#4600068,птичье крыло
money#n#13405730,деньги
ball#n#2781674,мяч
orchid#n#12061915,орхидные
wall#n#4554141,стена
merchandise#n#3754377,продукт (бизнес)
Earth#n#9293800,Земля
United_States#n#9067337,Америка
monetary_unit#n#13625961,денежная единица
bring#v#1441539,разводить,развести,привести,приводить
causing#n#43049,вызывние, порождение
fictional_character#n#9610740,герой (книги, фильма)
matter#n#5679169,материя (физика)
southern#a#1609663,южный
ask#v#757790,
hole#n#9327371,
party#n#8273889,вечеринка
bearing#a#218889,несущий
control#v#2445887,власть,проверять,проверить,владеть
change#n#13881240,
Australia#n#8849996,Австралия
like#a#1412553,похожий
China#n#8740839,Китай
compound#n#5878802,соединение
land#n#9358146,земля, почва
hand#n#5572223,кисть (анатомия)
flesh#n#5275611,плоть
class#n#8014145,класс
lack#n#14472871,
book#n#6422547,книга
cut#v#1555301,разрезать
building#n#2916498,строение, здание
idea#n#5842164,идея
protect#v#1132136,защищать,защитить
study#n#5763880,учиться
air#n#14865437,воздух
together#r#510460,вместе
spread#v#1381221,
sake#n#5150324,саке
son#n#10643436,сын
behavior#n#1223473,поведение
size#n#5106204,размер
add#v#1029183,
pull#v#1450719,притягивать,тянуть
organization#n#8024893,оршнизация
incorporate#v#2635616,
arrange#v#1023638,
degree#n#13962925,стадия
range#n#8646496,диапазон, предел
airplane#n#2694015,самолёт
organ#n#5305022,орган
government#n#8067430,правительство
function#n#13806028,функция
name#n#6344646,имя
serviceman#n#10602198,солдат, ряловой
cover#v#1035399,лечь
